category,question,answer1,explanation1,answer2,explanation2,answer3,explanation3,correct
"Curiosità sulla Polonia","Perché Varsavia ha una “città vecchia” ricostruita?","Fu devastata nella Seconda Guerra Mondiale","Gran parte del centro storico fu distrutta; la ricostruzione postbellica è così fedele da essere patrimonio UNESCO.","Fu spostata di 100 km","Varsavia non fu “traslocata”: restò sul posto, ma doveva rinascere dalle macerie.","È una città inventata per i turisti","È vera storia urbana: ricostruzione civile e memoria nazionale, non un parco a tema.",A
"Curiosità sull’Italia","Perché si dice che “tutte le strade portano a Roma”?","Per la rete di vie consolari romane","Nell’antichità le grandi strade imperiali convergevano su Roma: la frase è diventata proverbio sul “centro” di un sistema.","Perché Roma ha più metro di Milano","La metro è moderna: il proverbio nasce dalla geografia viaria antica, non dal trasporto odierno.","Perché era l’unica città d’Italia","C’erano tante città: Roma era però il baricentro politico e stradale dell’impero.",A
"Eventi storici","Cosa ricorda Solidarność (Solidarietà) in Polonia?","Il sindacato e il movimento contro il regime","Nato a Gdańsk (1980) intorno a Lech Wałęsa: fu chiave del cambiamento politico che portò verso la fine del comunismo.","Una squadra di calcio nazionale","Non è un club sportivo: è un movimento sociale e sindacale di portata storica europea.","Una festa di primavera","Non è una festa stagionale: è storia politica del tardo Novecento.",A
"Curiosità sulla Polonia","Cosa sono tipicamente i pierogi?","Ravioli ripieni (salati o dolci)","I pierogi sono pasta ripiena: formaggio, patate, carne, frutta… un comfort food nazionale con tante varianti regionali.","Una zuppa di barbabietola","La zuppa di barbabietola è piuttosto il barszcz: vicino nella cucina polacca, ma diverso dai pierogi.","Un pane dolce di Natale","Esistono dolci natalizi, ma i pierogi non sono “il” panettone polacco: sono pasta ripiena.",A
"Curiosità sull’Italia","Perché il Vesuvio è famoso accanto a Napoli?","È un vulcano attivo legato a Pompei","L’eruzione del 79 d.C. seppellì Pompei ed Ercolano: oggi il Vesuvio resta un vulcano sorvegliato e icona del golfo.","È una collina artificiale","Non è artificiale: è un complesso vulcanico naturale, tra i più studiati al mondo.","Si è spento definitivamente nel Medioevo","Non è “spento per sempre”: è considerato attivo, anche se i tempi delle eruzioni sono irregolari.",A
"Eventi storici","Nel 1410 a Grunwald (Tannenberg) cosa succede?","Una grande vittoria polacco-lituana","La battaglia di Grunwald è una vittoria storica contro l’Ordine Teutonico: mito fondativo della memoria polacca.","L’incoronazione di Carlo Magno","Carlo Magno è dell’800 d.C.: epoca diversa e contesto franco-europeo, non polacco-lituano del 1410.","La fondazione di Cracovia","Cracovia è molto più antica come insediamento importante; Grunwald è una battaglia, non la fondazione della città.",A
"Curiosità sulla Polonia","Perché Cracovia è spesso amata dai visitatori?","Centro storico, Wawel e vita universitaria","Cracovia conserva un nucleo storico ricco (piazza del Mercato, castello Wawel) e un’atmosfera culturale/universitaria molto viva.","È la capitale attuale","La capitale odierna è Varsavia: Cracovia lo fu in passato ed è ancora un grande polo culturale.","Non ha edifici antichi","Al contrario: è famosa proprio per il patrimonio storico e architettonico.",A
"Curiosità sull’Italia","Cosa rende unica la Torre di Pisa nel racconto popolare?","La pendenza accidentale","La torre “pendente” inclinò per il terreno soffice: oggi è un’icona mondiale proprio per quel difetto diventato fama.","È la torre più alta d’Europa","Non lo è: la fama non nasce dall’altezza record, ma dall’inclinazione e dalla storia del campanile.","Fu costruita in un giorno","Impiegò secoli, a fasi: non è un’opera lampo, ed è proprio nei secoli che l’inclinazione si accentuò.",A
"Eventi storici","Cosa segna il 1989 in Polonia (e in Europa centro-orientale)?","Le elezioni semi-libere e la svolta democratica","Nel 1989 la Polonia apre a elezioni che cambiano il potere: è un tassello centrale della fine dei regimi comunisti in Europa.","L’ingresso nell’euro","La Polonia non adotta l’euro come valuta nazionale: il 1989 è politico, non monetario UE.","L’inizio della Seconda Guerra Mondiale","La guerra inizia nel 1939: cinquant’anni prima. Il 1989 è invece la svolta della fine Guerra Fredda.",A
"Curiosità sulla Polonia","Cosa è Chopin per la Polonia?","Compositore-simbolo della cultura nazionale","Fryderyk Chopin è un’icona: piano, romantico, memoria nazionale — aeroporti, musei e concerti portano il suo nome.","Un re medievale","Non era un monarca: era musicista. I re polacchi appartengono ad altre epoche e biografie.","L’inventore della vodka","La vodka ha una storia produttiva complessa: non “inventata” da Chopin. Lui è musica, non distillazione.",A
