category,question,answer1,explanation1,answer2,explanation2,answer3,explanation3,correct
"Curiosità sull’Italia","Perché a Napoli la pizza Margherita è legata ai colori della bandiera?","Pomodoro, mozzarella e basilico","Rosso, bianco e verde richiamano i tre colori del tricolore: la pizza fu dedicata alla regina Margherita di Savoia nel 1889.","Solo per il nome della regina","Il nome onora la regina, ma i colori degli ingredienti sono la spiegazione “ufficiosa” più famosa della tradizione napoletana.","Era un ordine militare","Non era un piatto militare: nacque come omaggio reale e diventò simbolo della cucina italiana nel mondo.",A
"Curiosità sul paese","Big Ben (UK) è il nome di cosa, di preciso?","Della campana grande","Tecnicamente Big Ben è la campana: la torre oggi si chiama Elizabeth Tower, ma nel parlato comune “Big Ben” indica tutto l’insieme.","Solo dell’orologio","L’orologio è famoso, ma il soprannome storico “Big Ben” nasce dalla campana, non dal meccanismo.","Di tutta Londra","È un simbolo di Londra, ma il nome non indica la città: indica (in origine) la campana del Palazzo di Westminster.",A
"Eventi storici","Nel 1066 cosa cambia la storia dell’Inghilterra?","La conquista normanna","Guglielmo il Conquistatore vince a Hastings: arriva il francese-normanno nella lingua e nella cultura inglese.","La nascita del tè","Il tè arriverà secoli dopo dai commerci con l’Asia: nel 1066 il tema centrale è politico-militare, non gastronomico.","L’indipendenza americana","L’indipendenza USA è del 1776: molto dopo. Nel 1066 siamo ancora nel Medioevo inglese.",A
"Curiosità sull’Italia","Perché Venezia è “costruita sull’acqua”?","Su palafitte e isole della laguna","La città sorge su isole lagunari: edifici e fondamenta poggiano su legni conficcati nel fondale, una tecnica antica e ingeniosa.","Su un unico ponte di pietra","Ci sono tanti ponti, ma Venezia non poggia su un solo ponte: è un tessuto di isole, canali e fondamenta lignee.","Su una diga moderna","Le dighe e il MOSE sono opere recenti di protezione: la struttura storica della città è lagunare e medievale.",A
"Curiosità sul paese","Perché New York è chiamata “The Big Apple”?","Slogan e giornali degli anni ’20","Il soprannome si diffuse con giornalisti e mondi dello sport/spettacolo: “big apple” = grande opportunità, grande città.","Per i meleti di Central Park","Central Park ha alberi, ma non è l’origine del nome: è una metafora culturale, non botanica.","Per una legge sulle mele","Non c’è una legge sulle mele dietro al nickname: è linguaggio popolare e marketing urbano.",A
"Eventi storici","Cosa celebra il 4 luglio negli Stati Uniti?","La Dichiarazione d’Indipendenza (1776)","Il Independence Day ricorda il 4 luglio 1776: le colonie americane dichiarano indipendenza dalla Gran Bretagna.","La fine della Prima Guerra Mondiale","L’armistizio della Grande Guerra è l’11 novembre 1918: un’altra ricorrenza, in altri paesi.","L’arrivo di Colombo","Colombo è legato al 12 ottobre (e a dibattiti storici): non al 4 luglio americano.",A
"Curiosità sull’Italia","Cosa rende speciale il Colosseo rispetto a molti edifici antichi?","Era un anfiteatro per spettacoli pubblici","Il Colosseo (Anfiteatro Flavio) ospitava giochi e spettacoli: è architettura romana pensata per grandi folle.","Era solo un tempio chiuso","Non era un tempio tipico: la pianta ellittica e gli ordini di archi servivano allo spettacolo, non al culto chiuso.","Fu costruito nel Rinascimento","È romano imperiale (I secolo d.C.): il Rinascimento arriverà oltre mille anni dopo.",A
"Curiosità sul paese","Perché si guida a sinistra in Gran Bretagna?","Tradizione storica (spada / cavallo)","Una spiegazione storica comune: a cavallo si teneva la destra libera per la spada; la regola rimase e fu codificata.","Perché le strade sono più strette","Ci sono strade strette, ma non è la causa ufficiale: è una convenzione storica diversa da gran parte d’Europa.","Per un accordo con l’UE","Il Regno Unito guida a sinistra da molto prima dell’UE; non dipende da un accordo europeo recente.",A
"Eventi storici","L’Unità d’Italia (XIX secolo) è legata soprattutto a quale processo?","Il Risorgimento","Il Risorgimento unisce progressivamente gli Stati italiani: figure come Cavour, Garibaldi e Vittorio Emanuele II sono centrali.","La fondazione di Roma antica","Roma antica è millenni prima: l’Unità è un processo moderno dell’Ottocento.","La scoperta dell’America","Il 1492 riguarda l’espansione atlantica: non spiega l’unificazione politica italiana dell’Ottocento.",A
"Curiosità sul paese","Cosa indica tipicamente “afternoon tea” nel mondo anglofono?","Uno spuntino con tè e dolci/salati","Nell’immaginario britannico è una pausa pomeridiana: tè, sandwich piccoli, scones e dolci — più rituale sociale che “cena”.","Solo un bicchiere di tè al bar","Si può bere tè ovunque, ma “afternoon tea” richiama un format culturale più ricco e cerimonioso.","Una festa di Capodanno","Non è legata a Capodanno: è una tradizione pomeridiana, non una festa di fine anno.",A
